iter	Passed	Remaining
0	140	140332
1	144	72161
2	148	49496
3	153	38249
4	158	31473
5	162	26923
6	166	23633
7	170	21172
8	175	19281
9	179	17771
10	184	16555
11	188	15490
12	192	14586
13	196	13813
14	200	13178
15	205	12611
16	209	12103
17	213	11659
18	217	11250
19	222	10885
20	226	10562
21	230	10259
22	235	9987
23	239	9741
24	244	9516
25	248	9297
26	252	9086
27	256	8904
28	260	8724
29	264	8543
30	268	8386
31	272	8238
32	276	8106
33	280	7983
34	285	7868
35	289	7754
36	293	7642
37	296	7499
38	298	7358
39	301	7224
40	303	7095
41	306	6980
42	308	6865
43	310	6755
44	313	6649
45	316	6553
46	318	6455
47	321	6366
48	323	6277
49	325	6192
50	328	6109
51	330	6030
52	333	5954
53	335	5884
54	338	5813
55	340	5745
56	343	5680
57	345	5615
58	348	5552
59	350	5491
60	352	5431
61	355	5372
62	357	5317
63	359	5264
64	362	5211
65	364	5162
66	367	5115
67	368	5051
68	371	5005
69	373	4963
70	375	4913
71	376	4855
72	378	4801
73	379	4748
74	380	4697
75	382	4648
76	383	4599
77	385	4551
78	386	4505
79	387	4459
80	389	4414
81	390	4371
82	391	4329
83	393	4287
84	394	4242
85	395	4203
86	396	4159
87	397	4121
88	399	4084
89	400	4048
90	401	4013
91	403	3978
92	404	3944
93	405	3911
94	407	3879
95	408	3847
96	409	3816
97	411	3786
98	412	3756
99	414	3727
100	415	3698
101	416	3664
102	417	3636
103	418	3608
104	420	3581
105	421	3555
106	422	3529
107	424	3503
108	425	3479
109	426	3454
110	428	3430
111	429	3406
112	430	3382
113	432	3359
114	433	3335
115	434	3310
116	435	3288
117	436	3265
118	437	3241
119	439	3220
120	440	3198
121	441	3178
122	442	3153
123	443	3132
124	444	3112
125	445	3093
126	447	3074
127	448	3052
128	449	3033
129	450	3015
130	451	2997
131	453	2980
132	454	2962
133	455	2945
134	456	2928
135	458	2911
136	459	2895
137	460	2877
138	461	2861
139	463	2845
140	464	2829
141	465	2813
142	466	2797
143	468	2782
144	469	2766
145	470	2751
146	471	2736
147	472	2722
148	474	2708
149	475	2694
150	476	2680
151	477	2665
152	479	2652
153	480	2639
154	481	2625
155	482	2612
156	484	2599
157	485	2587
158	486	2574
159	488	2562
160	489	2550
161	490	2537
162	491	2525
163	493	2513
164	494	2501
165	495	2489
166	496	2477
167	497	2466
168	499	2454
169	500	2443
170	501	2432
171	502	2420
172	504	2409
173	505	2398
174	506	2388
175	507	2377
176	509	2367
177	510	2356
178	511	2346
179	512	2336
180	513	2324
181	514	2314
182	516	2304
183	517	2295
184	518	2285
185	519	2275
186	521	2265
187	522	2256
188	523	2246
189	524	2237
190	526	2228
191	527	2219
192	528	2210
193	529	2201
194	531	2192
195	532	2184
196	533	2175
197	534	2166
198	536	2158
199	537	2149
200	538	2141
201	539	2132
202	541	2124
203	542	2116
204	543	2108
205	544	2100
206	546	2091
207	547	2084
208	548	2075
209	549	2067
210	551	2060
211	552	2052
212	553	2044
213	554	2037
214	555	2029
215	557	2022
216	558	2015
217	559	2007
218	560	2000
219	562	1992
220	563	1985
221	564	1978
222	565	1971
223	566	1964
224	568	1956
225	569	1949
226	570	1943
227	571	1936
228	573	1929
229	574	1922
230	575	1915
231	576	1909
232	577	1902
233	579	1896
234	580	1889
235	581	1883
236	582	1876
237	584	1870
238	585	1864
239	586	1857
240	587	1851
241	588	1844
242	590	1838
243	591	1832
244	592	1826
245	593	1820
246	595	1814
247	596	1808
248	597	1802
249	598	1796
250	600	1790
251	601	1784
252	602	1779
253	603	1773
254	605	1767
255	606	1762
256	607	1757
257	608	1751
258	610	1745
259	611	1740
260	612	1734
261	613	1729
262	615	1723
263	616	1718
264	617	1713
265	618	1707
266	620	1702
267	621	1696
268	622	1691
269	623	1686
270	624	1681
271	626	1675
272	627	1670
273	628	1665
274	629	1660
275	631	1655
276	632	1650
277	633	1645
278	634	1640
279	636	1635
280	637	1630
281	638	1625
282	639	1620
283	640	1615
284	642	1611
285	643	1606
286	644	1601
287	645	1596
288	647	1591
289	648	1587
290	649	1582
291	650	1578
292	652	1573
